Artista,Trabajo,Fecha Publicación,Tipo
& rei,furia tranquilidad,2007,-
& rei,hardcore-universidad,2010,-
& rei,maldito,2011,-
& rei,para siempre,2008,-
& rei (andrei),con los clasicos,2007,-
0'5 milimetros,ciudad del odio,2006,-
0'5 mm,stallman y migui,2004,-
014 Kracks,No Apto Para niños,-,
014 kracks – estarlik,banda organizada,2008,-
014kracks,no apta para putas,2007,-
03700,denia mixtape,2010,-
05 milimetros,grandes,2009,-
08860,entresuelo urquinaona,2006,-
08860,promo 0.6,2007,-
1 don 1 flow,la zona oscura,2002,-
100 Kill.Ates,Proyectiles en el aire,-,
124 (SKL69 & LAMEKA55) ,B.R.U.T.A.L,2008,LP
124 (skl69 y la meka 55,b.r.u.t.a.l) (promo),2007,-
128Films,Basement Series,2012,LP
13 palabras,al kocer menghua,2009,-
13 palabras,elektrowildstyle,2010,-
13 palabras,kundalini,2012,-
13 palabras,la fabrika de flores,2007-2008,-
13 palabras,majestic guaje,2005,-
13 palabras,pimpology vol.1,2004,-
13 palabras,pimpology vol.2,-,-
13 palabras,rap in asgalla,2010,-
13 palabras,remember the old,2006,-
13 palabras y buby,el show de true man,2011,-
13 Pasos,25 Ce Eme,2002,CDM
13 pasos,Esguince de muñeca,2000,-
13 Pasos,Promo 2003,2003,CDM
1312a,mil trescientos doze a (the extended version!!),2010,-
14KT,Nickel & Dimed,2013,LP
1dtantos,hacerlo serio,-,-
1st Pick,#1vs1,2014,-
1st Pick,Hall Of Famers,2013,-
2 cabrones,el juego es nuestro,2001,-
2 kalles,demo 2006,2006,-
2 Tonos,Imperio Urbano,2003,
24 kilates,tan solo el aperitivo,-,-
24siete,demo,2003-2004,-
27 crew,rapgebra,2009,-
2cer2,estiercol,2006,-
2d2,Ciudad Del Olvido,2004,-
2d2,Gemelos,2009,-
2d2,gente con pedigree,2000,-
2d2,la otrora,2008,-
2d2,la roka,2003,-
2d2,reskicios de una époka,2003,-
2db,mosaico,2009,-
2db,todo bien,2006,-
2hn,no recomendada para grumetes,-,-
2in-Par,2in-Par,2005,-
2in-Par,volumen i,2004,-
2in-Par,volumen ii,2004,-
2in-Par,volumen iii,2004,-
2karas,El Mal ...,2005,-
